RETAILER_CODE,RANG,GAME_CODE_RECOMMANDE,SCORE_POPULARITE_GLOBALE
20801801,2,3,100484510032
20801801,3,7,98673824793
20801801,4,5,95018832108
20801801,5,2,92584684329
20802001,1,6,110509700531
20802001,2,3,100445910077
20802001,3,2,92551934776
20802001,4,4,85292762690
20802001,5,1,59444136234
20805601,1,6,110542381444
20805601,2,3,100484510032
20805601,3,7,98673824793
20805601,4,5,95018832108
20805601,5,2,92591841905
20806501,1,3,100415641346
20806501,2,7,98673824793
20806501,3,5,94914528286
20806501,4,1,59402652259
20806501,5,10,51487674237
20826200,1,6,110542381444
20826200,2,5,94139408398
20826200,3,2,92026855039
20826200,4,1,58950306228
20826200,5,9,49561885048
20826601,1,7,98673814263
20826601,2,5,95018832108
20826601,3,2,92591805853
20826601,4,4,85292731090
20826601,5,1,59492690176
20900210,1,7,98673824793
20900210,2,2,92591841905
20900210,3,4,85292762690
20900210,4,1,59492007554
20900210,5,10,51486542432
20900910,1,3,100484510032
20900910,2,7,98673824793
20900910,3,5,95018832108
20900910,4,2,92559668393
20900910,5,4,85292762690
20905520,1,6,110542381444
20905520,2,3,100484510032
20905520,3,7,98673824793
20905520,4,5,95018832108
20905520,5,2,92591841905
21000301,1,7,98533138256
21000301,2,5,94885842673
21000301,3,4,85156451148
21000301,4,10,51385768188
21000301,5,9,49803711446
21008901,1,3,100484223075
21008901,2,7,98673824793
21008901,3,5,95018832108
21008901,4,1,59492690176
21008901,5,10,51487379249
21027000,1,3,100484190656
21027000,2,5,95018610731
21027000,3,2,92591089351
21027000,4,1,59492132899
21027000,5,10,51487475377
21100001,1,6,110541685328
21100001,2,3,100483873421
21100001,3,5,95018450855
21100001,4,2,92591841905
21100001,5,9,49803369755
21100160,1,6,110542381444
21100160,2,3,100484510032
21100160,3,7,98673824793
21100160,4,5,95018832108
21100160,5,2,92591841905
21101850,1,5,95018360124
21101850,2,4,85292428942
21101850,3,1,59491985128
21101850,4,10,51487582376
21101850,5,9,49803328553
21102301,1,6,110542381444
21102301,2,3,100484510032
21102301,3,7,98673824793
21102301,4,5,95018832108
21102301,5,2,92579970322
21104701,1,6,110499181734
21104701,2,3,100469848727
21104701,3,2,92557662785
21104701,4,4,85292762690
21104701,5,1,59461520879
21104801,1,6,110542381444
21104801,2,3,100484510032
21104801,3,7,98673824793
21104801,4,5,95018832108
21104801,5,2,92591841905
21105001,1,6,110542381444
21105001,2,3,100484510032
21105001,3,7,98673824793
21105001,4,5,95018832108
21105001,5,2,92591841905
21105501,1,3,100484510032
21105501,2,7,98673824793
21105501,3,5,95018590326
21105501,4,2,92591841905
21105501,5,4,85292762690
21105801,1,3,100484494667
21105801,2,7,98673824793
21105801,3,5,95018810756
21105801,4,4,85292741747
21105801,5,1,59492671466
21106701,1,3,100469392528
21106701,2,5,95018832108
21106701,3,2,92569392104
21106701,4,4,85292762690
21106701,5,1,59492690176
21107401,1,3,100484506077
21107401,2,7,98673824793
21107401,3,5,95018828540
21107401,4,4,85292758917
21107401,5,1,59492690176
21107601,1,6,110542381444
21107601,2,3,100484510032
21107601,3,7,98673824793
21107601,4,5,95018832108
21107601,5,2,92591841905
21108020,1,6,110542381444
21108020,2,3,100484510032
21108020,3,7,98673824793
21108020,4,5,95018832108
21108020,5,2,92591841905
21110401,1,3,100484504785
